Date,Open,High,Low,Close_,AdjClose__,Volume
"Aug 01, 1986","1,558.10","1,561.80","1,554.90","1,561.80","1,561.80",
"Jul 31, 1986","1,566.30","1,567.20","1,548.30","1,558.10","1,558.10",
"Jul 30, 1986","1,558.70","1,570.80","1,558.70","1,566.30","1,566.30",
"Jul 29, 1986","1,549.40","1,556.40","1,536.80","1,556.40","1,556.40",
"Jul 28, 1986","1,545.80","1,549.40","1,543.50","1,549.40","1,549.40",
"Jul 25, 1986","1,547.70","1,547.80","1,539.80","1,545.80","1,545.80",
"Jul 24, 1986","1,568.60","1,568.60","1,547.70","1,547.70","1,547.70",
"Jul 23, 1986","1,566.10","1,574.00","1,566.10","1,572.30","1,572.30",
"Jul 22, 1986","1,560.20","1,566.30","1,556.70","1,559.20","1,559.20",
"Jul 21, 1986","1,576.90","1,576.90","1,559.00","1,560.20","1,560.20",
"Jul 18, 1986","1,608.00","1,608.00","1,584.40","1,584.40","1,584.40",
"Jul 17, 1986","1,600.00","1,609.40","1,600.00","1,609.30","1,609.30",
"Jul 16, 1986","1,593.00","1,597.50","1,588.50","1,597.30","1,597.30",
"Jul 15, 1986","1,595.40","1,595.40","1,585.40","1,593.00","1,593.00",
"Jul 14, 1986","1,621.90","1,621.90","1,597.30","1,597.30","1,597.30",
"Jul 11, 1986","1,626.70","1,628.20","1,623.90","1,626.40","1,626.40",
"Jul 10, 1986","1,621.40","1,632.00","1,621.40","1,626.70","1,626.70",
"Jul 09, 1986","1,600.80","1,614.90","1,600.80","1,614.60","1,614.60",
"Jul 08, 1986","1,615.20","1,615.20","1,597.50","1,599.00","1,599.00",
"Jul 07, 1986","1,645.70","1,645.70","1,631.00","1,631.00","1,631.00",
"Jul 04, 1986","1,653.90","1,653.90","1,647.80","1,649.40","1,649.40",
"Jul 03, 1986","1,656.70","1,660.30","1,653.70","1,656.20","1,656.20",
"Jul 02, 1986","1,660.80","1,661.90","1,656.20","1,656.70","1,656.70",
"Jul 01, 1986","1,652.50","1,663.60","1,652.50","1,660.80","1,660.80",
"Jun 30, 1986","1,639.10","1,649.80","1,637.20","1,649.80","1,649.80",
"Jun 27, 1986","1,637.50","1,639.10","1,635.50","1,639.10","1,639.10",
"Jun 26, 1986","1,630.20","1,637.90","1,630.20","1,637.50","1,637.50",
"Jun 25, 1986","1,629.00","1,633.40","1,629.00","1,629.40","1,629.40",
"Jun 24, 1986","1,622.80","1,625.10","1,620.10","1,624.90","1,624.90",
"Jun 23, 1986","1,637.20","1,640.30","1,622.60","1,622.80","1,622.80",
"Jun 20, 1986","1,629.60","1,637.30","1,629.50","1,637.20","1,637.20",
"Jun 19, 1986","1,626.70","1,631.30","1,626.70","1,629.60","1,629.60",
"Jun 18, 1986","1,606.30","1,619.30","1,606.30","1,619.00","1,619.00",
"Jun 17, 1986","1,595.00","1,605.70","1,595.00","1,605.30","1,605.30",
"Jun 16, 1986","1,586.90","1,595.40","1,586.90","1,593.60","1,593.60",
"Jun 13, 1986","1,572.60","1,582.40","1,572.60","1,582.40","1,582.40",
"Jun 12, 1986","1,571.60","1,581.70","1,571.60","1,571.80","1,571.80",
"Jun 11, 1986","1,585.70","1,585.70","1,563.20","1,571.40","1,571.40",
"Jun 10, 1986","1,595.80","1,595.80","1,582.50","1,586.40","1,586.40",
"Jun 09, 1986","1,611.90","1,614.00","1,604.60","1,604.60","1,604.60",
"Jun 06, 1986","1,612.60","1,617.30","1,605.60","1,611.90","1,611.90",
"Jun 05, 1986","1,601.40","1,612.60","1,599.80","1,612.60","1,612.60",
"Jun 04, 1986","1,602.20","1,602.20","1,597.90","1,601.40","1,601.40",
"Jun 03, 1986","1,599.20","1,607.30","1,599.20","1,602.20","1,602.20",
"Jun 02, 1986","1,602.80","1,604.40","1,594.00","1,596.50","1,596.50",
"May 30, 1986","1,609.00","1,611.00","1,598.20","1,602.80","1,602.80",
"May 29, 1986","1,622.80","1,622.80","1,606.70","1,609.00","1,609.00",
"May 28, 1986","1,616.80","1,626.40","1,616.80","1,624.80","1,624.80",
"May 27, 1986","1,616.30","1,616.30","1,607.10","1,612.10","1,612.10",
"May 26, 1986","1,617.40","1,617.40","1,617.40","1,617.40","1,617.40",
"May 23, 1986","1,606.80","1,617.40","1,606.80","1,617.40","1,617.40",
"May 22, 1986","1,591.90","1,601.40","1,589.00","1,598.80","1,598.80",
"May 21, 1986","1,585.90","1,594.80","1,585.90","1,591.90","1,591.90",
"May 20, 1986","1,579.80","1,585.90","1,579.80","1,585.80","1,585.80",
"May 19, 1986","1,566.30","1,573.10","1,566.30","1,573.10","1,573.10",
"May 16, 1986","1,565.70","1,565.70","1,554.00","1,564.90","1,564.90",
"May 15, 1986","1,594.30","1,600.20","1,575.10","1,575.70","1,575.70",
"May 14, 1986","1,606.90","1,606.90","1,592.70","1,594.30","1,594.30",
"May 13, 1986","1,612.50","1,626.20","1,612.50","1,623.30","1,623.30",
"May 12, 1986","1,601.60","1,605.80","1,600.40","1,603.80","1,603.80",
"May 09, 1986","1,602.60","1,605.90","1,593.00","1,601.60","1,601.60",
"May 08, 1986","1,610.10","1,613.00","1,588.80","1,602.60","1,602.60",
"May 07, 1986","1,634.80","1,634.80","1,610.10","1,610.10","1,610.10",
"May 06, 1986","1,652.50","1,657.70","1,636.10","1,636.20","1,636.20",
"May 05, 1986","1,652.50","1,652.50","1,652.50","1,652.50","1,652.50",
"May 02, 1986","1,645.70","1,652.50","1,645.70","1,652.50","1,652.50",
"May 01, 1986","1,645.40","1,645.40","1,628.10","1,640.10","1,640.10",
